Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,Total Resident Popula,,Northeast,Midwest,South,West,,Puerto Rico,,Total Resident Popula,including Puerto Ri
2010,4802982,721523,6412700,2926229,37341989,5044930,3581628,900877,601723,18900773,9727566,1366862,1573499,12864380,6501582,3053787,2863813,4350606,4553962,1333074,5789929,6559644,9911626,5314879,2978240,6011478,994416,1831825,2709432,1321445,8807501,2067273,19421055,9565781,675905,11568495,3764882,3848606,12734905,1055247,4645975,819761,6375431,25268418,2770765,630337,8037736,6753369,1859815,5698230,568300,,,,,,,,,,,,
2000,4447100,626932,5130632,2673400,33871648,4301261,3405565,783600,572059,15982378,8186453,1211537,1293953,12419293,6080485,2926324,2688418,4041769,4468976,1274923,5296486,6349097,9938444,4919479,2844658,5595211,902195,1711263,1998257,1235786,8414350,1819046,18976457,8049313,642200,11353140,3450654,3421399,12281054,1048319,4012012,754844,5689283,20851820,2233169,608827,7078515,5894121,1808344,5363675,493782,,281421906,,53594378,64392776,100236820,63197932,,3808610,,,285230516
1990,4040587,550043,3665228,2350725,29760021,3294394,3287116,666168,606900,12937926,6478216,1108229,1006749,11430602,5544159,2776755,2477574,3685296,4219973,1227928,4781468,6016425,9295297,4375099,2573216,5117073,799065,1578385,1201833,1109252,7730188,1515069,17990455,6628637,638800,10847115,3145585,2842321,11881643,1003464,3486703,696004,4877185,16986510,1722850,562758,6187358,4866692,1793477,4891769,453588,,248709873,,50809229,59668632,85445930,52786082,,3522037,,,252231910
1950,3061743,128643,749587,1909511,10586223,1325089,2007280,318085,802178,2771305,3444578,499794,588637,8712176,3934224,2621073,1905299,2944806,2683516,913774,2343001,4690514,6371766,2982483,2178914,3954653,559456,1325510,160083,533242,4835329,681187,14830192,4061929,619636,7946627,2233351,1521341,10498012,791896,2117027,652740,3291718,7711194,688862,377747,3318680,2378963,2005552,3434575,290529,,,,,,,,,,,,
1900,1828697,63592,122931,1311564,1485053,539700,908420,184735,278718,528542,2216331,154001,161772,4821550,2516462,2231853,1470495,2147174,1381625,694466,1188044,2805346,2420982,1751394,1551270,3106665,243329,1066300,42355,411588,1883669,195310,7268894,1893810,319146,4157545,790391,413536,6302115,428556,1340316,401570,2020616,3048710,276749,343641,1854184,518103,958800,2069042,92531,,,,,,,,,,,,
1850,771623,,,209897,92597,,370792,91532,51687,87445,906185,,,851470,988416,192214,,982405,517762,583169,583034,994514,397654,6077,606526,682044,,,,317976,489555,61547,3097394,869039,,1980329,,12093,2311786,147545,668507,,1002717,212592,11380,314120,1119348,1201,302313,305391,,,,,,,,,,,,,
1800,1250,,,,,,251002,64273,8144,,162686,,,,5641,,,220955,,96540,341548,422845,,,7600,,,,,183858,211149,,589051,478103,,45365,,,602365,69122,345591,,105602,,,154465,807557,,78592,,,,,,,,,,,,,,
